"Ticker","Nil_col","Name","Price","P.E","PEG","Div.share","Price.Book","Change_from_50_day_MA","Change_from_200_day_MA","Change_fr_52_week_low","Change_fr_52_week_high","link","fifty_two_weekrange","fifty_two_weekhigh","fifty_two_weeklow"
"EEME","Nil","iShares MSCI Emerging Markets E",38.47,NA,NA,NA,NA,NA,NA,0.0020838760093774,0,"https://finance.yahoo.com/quote/EEME?p=EEME","38.39 - 38.47",38.47,38.39
"EFA","Nil","iShares MSCI EAFE ETF",70,NA,NA,NA,NA,NA,NA,0.0842627013630731,-0.0700146140560648,"https://finance.yahoo.com/quote/EFA?p=EFA","64.56 - 75.27",75.27,64.56
"ERUS","Nil","iShares MSCI iShares MSCI Russi",32.17,NA,NA,NA,NA,NA,NA,0.183590875643856,-0.179964313025746,"https://finance.yahoo.com/quote/ERUS?p=ERUS","27.18 - 39.23",39.23,27.18
"ES3.SI","Nil","STI ETF",3.409,NA,NA,NA,NA,NA,NA,0.0521604938271604,-0.0685792349726777,"https://finance.yahoo.com/quote/ES3.SI?p=ES3.SI","3.240 - 3.660",3.66,3.24
"ESR","Nil","iShares MSCI Emerging Markets E",0,NA,NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/ESR?p=ESR","",NA,NA
"EWA","Nil","iShares MSCI Australia Index Fu",22.49,NA,NA,NA,NA,NA,NA,0.0673943996203132,-0.0702769739561803,"https://finance.yahoo.com/quote/EWA?p=EWA","21.07 - 24.19",24.19,21.07
"EWC","Nil","iShares MSCI Canada Index Fund",28.7,NA,NA,NA,NA,NA,NA,0.107253086419753,-0.0620915032679739,"https://finance.yahoo.com/quote/EWC?p=EWC","25.92 - 30.60",30.6,25.92
"EWEM","Nil","Invesco MSCI Emerging Markets E",32.385,NA,NA,NA,NA,NA,NA,0.0310410697230181,-0.143480560698228,"https://finance.yahoo.com/quote/EWEM?p=EWEM","31.410 - 37.810",37.81,31.41
"EWH","Nil","iShares MSCI Hong Kong Index Fu",25.67,NA,NA,NA,NA,NA,NA,0.114633087277464,-0.0467879688080207,"https://finance.yahoo.com/quote/EWH?p=EWH","23.03 - 26.93",26.93,23.03
"EWI","Nil","iShares Inc iShares MSCI Italy ",30.35,NA,NA,NA,NA,NA,NA,0.112944627796113,-0.119013062409289,"https://finance.yahoo.com/quote/EWI?p=EWI","27.27 - 34.45",34.45,27.27
"EWJ","Nil","iShares MSCI Japan Index Fund",60.31,NA,NA,NA,NA,NA,NA,0.14201855709146,-0.0681396786155747,"https://finance.yahoo.com/quote/EWJ?p=EWJ","52.81 - 64.72",64.72,52.81
"EWL","Nil","iShares Inc iShares MSCI Switze",33.63,NA,NA,NA,NA,NA,NA,0.0141737032569362,-0.111257928118393,"https://finance.yahoo.com/quote/EWL?p=EWL","33.16 - 37.84",37.84,33.16
"EWM","Nil","iShares MSCI Malaysia Index Fun",32.89,NA,NA,NA,NA,NA,NA,0.0538289009932714,-0.100382932166302,"https://finance.yahoo.com/quote/EWM?p=EWM","31.21 - 36.56",36.56,31.21
"EWN","Nil","iShares MSCI Netherlands Index ",31.88,NA,NA,NA,NA,NA,NA,0.111188567445103,-0.0648283954238781,"https://finance.yahoo.com/quote/EWN?p=EWN","28.69 - 34.09",34.09,28.69
"EWP","Nil","iShares Inc iShares MSCI Spain ",31.35,NA,NA,NA,NA,NA,NA,0.0584064821066847,-0.138262781748213,"https://finance.yahoo.com/quote/EWP?p=EWP","29.62 - 36.38",36.38,29.62
"EWQ","Nil","iShares MSCI France Index Fund",32.27,NA,NA,NA,NA,NA,NA,0.131883549631708,-0.0432849095760449,"https://finance.yahoo.com/quote/EWQ?p=EWQ","28.51 - 33.73",33.73,28.51
"EWS","Nil","iShares Inc iShares MSCI Singap",25.27,NA,NA,NA,NA,NA,NA,0.0854810996563573,-0.108641975308642,"https://finance.yahoo.com/quote/EWS?p=EWS","23.28 - 28.35",28.35,23.28
"EWT","Nil","iShares Inc iShares MSCI Taiwan",36.76,NA,NA,NA,NA,NA,NA,0.0529934116299055,-0.0658195679796697,"https://finance.yahoo.com/quote/EWT?p=EWT","34.91 - 39.35",39.35,34.91
"EWU","Nil","iShares MSCI United Kingdom ETF",35.96,NA,NA,NA,NA,NA,NA,0.0956733698964047,-0.054927726675427,"https://finance.yahoo.com/quote/EWU?p=EWU","32.82 - 38.05",38.05,32.82
"EWW","Nil","iShares Inc iShares MSCI Mexico",45.06,NA,NA,NA,NA,NA,NA,0.0346727898966706,-0.220684884123141,"https://finance.yahoo.com/quote/EWW?p=EWW","43.55 - 57.82",57.82,43.55
"EWY","Nil","iShares Inc iShares MSCI South ",70.25,NA,NA,NA,NA,NA,NA,0.0682785888077858,-0.111546730744909,"https://finance.yahoo.com/quote/EWY?p=EWY","65.76 - 79.07",79.07,65.76
