"Ticker","Nil_col","Name","Price","P.E","PEG","Div.share","Price.Book","Change_from_50_day_MA","Change_from_200_day_MA","Change_fr_52_week_low","Change_fr_52_week_high","link","fifty_two_weekrange","fifty_two_weekhigh","fifty_two_weeklow"
"GMM","Nil","SPDR S&amp;P Emerging Markets ETF",74.87,NA,NA,NA,NA,NA,NA,1.05348326933626,-0.00106737825216809,"https://finance.yahoo.com/quote/GMM?p=GMM","36.46 - 74.95",74.95,36.46
"GULF","Nil","WisdomTree Middle East Dividend",19.81,NA,NA,NA,NA,NA,NA,0.205721241631162,-0.00950000000000006,"https://finance.yahoo.com/quote/GULF?p=GULF","16.43 - 20.00",20,16.43
"GUR","Nil","SPDR S&amp;P Emerging Europe ETF",30.24,NA,NA,NA,NA,NA,NA,0.00531914893617022,-0.00165070980521627,"https://finance.yahoo.com/quote/GUR?p=GUR","30.08 - 30.29",30.29,30.08
"GXC","Nil","SPDR S&amp;P China ETF",113.37,NA,NA,NA,NA,NA,NA,0.282321004411266,-0.0850617383584859,"https://finance.yahoo.com/quote/GXC?p=GXC","88.41 - 123.91",123.91,88.41
"HAO","Nil","Invesco China Small Cap ETF",32.05,NA,NA,NA,NA,NA,NA,0.269809825673534,-0.0355100812518808,"https://finance.yahoo.com/quote/HAO?p=HAO","25.24 - 33.23",33.23,25.24
"IDHQ","Nil","Invesco S&amp;P International Devel",24.1,NA,NA,NA,NA,NA,NA,0.0904977375565611,-0.0552724421795374,"https://finance.yahoo.com/quote/IDHQ?p=IDHQ","22.10 - 25.51",25.51,22.1
"IEER.L","Nil","ISHARES PLC ISHARES MSCI E.EUR ",1693.8,NA,NA,NA,NA,NA,NA,102.154689403167,-0.0116699731590617,"https://finance.yahoo.com/quote/IEER.L?p=IEER.L","16.42 - 1,713.80",1713.8,16.42
"IGLO.L","Nil","ISHARES III PLC ISHRS GLOBAL GO",106.905,NA,NA,NA,NA,NA,NA,0.382630625969995,-0.0294598275079438,"https://finance.yahoo.com/quote/IGLO.L?p=IGLO.L","77.320 - 110.150",110.15,77.32
"ILF","Nil","iShares Latin America 40 ETF",29.82,NA,NA,NA,NA,NA,NA,0.0243902439024391,-0.245827010622155,"https://finance.yahoo.com/quote/ILF?p=ILF","29.11 - 39.54",39.54,29.11
"IPW","Nil","SPDR S&amp;P International Energy S",17.8,NA,NA,NA,NA,NA,NA,0.00564971751412437,-0.00280112044817931,"https://finance.yahoo.com/quote/IPW?p=IPW","17.70 - 17.85",17.85,17.7
"ISF.L","Nil","ISHARES PLC ISHARES CORE FTSE10",755.3,NA,NA,NA,NA,NA,NA,80.4778856526429,-0.0184535412605589,"https://finance.yahoo.com/quote/ISF.L?p=ISF.L","9.27 - 769.50",769.5,9.27
"ISRA","Nil","VanEck Vectors Israel ETF",32,NA,NA,NA,NA,NA,NA,0.158161418747738,-0.0114303367315415,"https://finance.yahoo.com/quote/ISRA?p=ISRA","27.630 - 32.370",32.37,27.63
"IXG","Nil","iShares Global Financial ETF",66.96,NA,NA,NA,NA,NA,NA,0.0944753187316115,-0.119063281147218,"https://finance.yahoo.com/quote/IXG?p=IXG","61.18 - 76.01",76.01,61.18
"JKF","Nil","iShares Morningstar Large-Cap  ",102.92,NA,NA,NA,NA,NA,NA,0.0818879428150952,-0.0857244381273873,"https://finance.yahoo.com/quote/JKF?p=JKF","95.13 - 112.57",112.57,95.13
"JKI","Nil","iShares Morningstar Mid-Cap ETF",162,NA,NA,NA,NA,NA,NA,0.124219292158223,-0.0377761938702781,"https://finance.yahoo.com/quote/JKI?p=JKI","144.10 - 168.36",168.36,144.1
"KBWD","Nil","Invesco Exchange-Traded Fund Tr",23.56,NA,NA,NA,NA,NA,NA,0.117117117117117,-0.0457675172134468,"https://finance.yahoo.com/quote/KBWD?p=KBWD","21.09 - 24.69",24.69,21.09
"KBWP","Nil","Invesco Exchange-Traded Fd Tr I",61.47,NA,NA,NA,NA,NA,NA,0.166192373363688,-0.0252140818268316,"https://finance.yahoo.com/quote/KBWP?p=KBWP","52.7100 - 63.0600",63.06,52.71
"MCHI","Nil","iShares MSCI China ETF",70.16,NA,NA,NA,NA,NA,NA,0.295899519763576,-0.0855057351407717,"https://finance.yahoo.com/quote/MCHI?p=MCHI","54.14 - 76.72",76.72,54.14
"O87.SI","Nil","GLD US$",123.42,NA,NA,NA,NA,NA,NA,0.0779980784347979,-0.0471705396433259,"https://finance.yahoo.com/quote/O87.SI?p=O87.SI","114.49 - 129.53",129.53,114.49
"PFI","Nil","Invesco Exchange-Traded Fund Tr",36.4,NA,NA,NA,NA,NA,NA,0.194225721784777,-0.0236051502145923,"https://finance.yahoo.com/quote/PFI?p=PFI","30.48 - 37.28",37.28,30.48
"PSP","Nil","Invesco Global Listed Private E",12.43,NA,NA,NA,NA,NA,NA,0.0614859094790776,-0.0806213017751479,"https://finance.yahoo.com/quote/PSP?p=PSP","11.71 - 13.52",13.52,11.71
