"Ticker","Nil_col","Name","Price","P.E","PEG","Div.share","Price.Book","Change_from_50_day_MA","Change_from_200_day_MA","Change_fr_52_week_low","Change_fr_52_week_high","link","fifty_two_weekrange","fifty_two_weekhigh","fifty_two_weeklow"
"EWY","Nil","iShares Inc iShares MSCI South ",70.25,NA,NA,NA,NA,NA,NA,0.0682785888077858,-0.111546730744909,"https://finance.yahoo.com/quote/EWY?p=EWY","65.76 - 79.07",79.07,65.76
"EZA","Nil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/EZA?p=EZA","",NA,NA
"FCA","Nil","First Trust China AlphaDEX Fund",32.4748,NA,NA,NA,NA,NA,NA,0.419353146853147,-0.0665478585800517,"https://finance.yahoo.com/quote/FCA?p=FCA","22.8800 - 34.7900",34.79,22.88
"FCG","Nil","First Trust Natural Gas ETF",22.06,NA,NA,NA,NA,NA,NA,0.1828418230563,-0.105796513984597,"https://finance.yahoo.com/quote/FCG?p=FCG","18.65 - 24.67",24.67,18.65
"FCHI","Nil","iShares FTSE China (HK Listed)",47.91,NA,NA,NA,NA,NA,NA,NA,NA,"https://finance.yahoo.com/quote/FCHI?p=FCHI","",NA,NA
"FDD","Nil","First Trust Dow Jones STOXX Sel",13.71,NA,NA,NA,NA,NA,NA,0.0627906976744186,-0.073022312373225,"https://finance.yahoo.com/quote/FDD?p=FDD","12.90 - 14.79",14.79,12.9
"FEM","Nil","First Trust Emerging Markets Al",27.53,NA,NA,NA,NA,NA,NA,0.202183406113537,-0.121008939974457,"https://finance.yahoo.com/quote/FEM?p=FEM","22.90 - 31.32",31.32,22.9
"FGD","Nil","First Trust DJ Global Select Di",25.67,NA,NA,NA,NA,NA,NA,0.0430719219829339,-0.0855005343783398,"https://finance.yahoo.com/quote/FGD?p=FGD","24.61 - 28.07",28.07,24.61
"FILL","Nil","iShares MSCI Global Energy Prod",23.19,NA,NA,NA,NA,NA,NA,0.302077484559237,-0.053469387755102,"https://finance.yahoo.com/quote/FILL?p=FILL","17.8100 - 24.5000",24.5,17.81
"FKO","Nil","First Trust South Korea AlphaDE",27.44,NA,NA,NA,NA,NA,NA,0.0513409961685824,-0.144638403990025,"https://finance.yahoo.com/quote/FKO?p=FKO","26.10 - 32.08",32.08,26.1
"FTA","Nil","First Trust Large Cap Value Alp",53.63,NA,NA,NA,NA,NA,NA,0.0929284695333198,-0.0703761483792684,"https://finance.yahoo.com/quote/FTA?p=FTA","49.07 - 57.69",57.69,49.07
"FXI","Nil","iShares China Large-Cap ETF",46.81,NA,NA,NA,NA,NA,NA,0.190488301119023,-0.133148148148148,"https://finance.yahoo.com/quote/FXI?p=FXI","39.32 - 54.00",54,39.32
"FXN","Nil","First Trust Energy AlphaDEX Fun",16.27,NA,NA,NA,NA,NA,NA,0.328163265306122,-0.0766174801362089,"https://finance.yahoo.com/quote/FXN?p=FXN","12.25 - 17.62",17.62,12.25
"FXO","Nil","First Trust Financials AlphaDEX",32.21,NA,NA,NA,NA,NA,NA,0.14626334519573,-0.0215674362089915,"https://finance.yahoo.com/quote/FXO?p=FXO","28.10 - 32.92",32.92,28.1
"G3B.SI","Nil","Nikko AM STI ETF",3.48,NA,NA,NA,NA,NA,NA,0.0609756097560976,-0.072,"https://finance.yahoo.com/quote/G3B.SI?p=G3B.SI","3.28 - 3.75",3.75,3.28
"GBPSGD=X","Nil","GBP/SGD",1.79386,NA,NA,NA,NA,NA,NA,0.00489602939858383,0.00438964849217818,"https://finance.yahoo.com/quote/GBPSGD=X?p=GBPSGD=X","1.78512 - 1.78602",1.78602,1.78512
"GDXJ","Nil","VanEck Vectors Junior Gold Mine",32.71,NA,NA,NA,NA,NA,NA,0.0961796246648794,-0.133739406779661,"https://finance.yahoo.com/quote/GDXJ?p=GDXJ","29.84 - 37.76",37.76,29.84
"GGGG","Nil","Global X Pure Gold Miners ETF",10.17,NA,NA,NA,NA,NA,NA,0.00295857988165674,-0.0145348837209303,"https://finance.yahoo.com/quote/GGGG?p=GGGG","10.14 - 10.32",10.32,10.14
"GLD","Nil","SPDR Gold Trust",121.34,NA,NA,NA,NA,NA,NA,0.0569686411149826,-0.0630839317427225,"https://finance.yahoo.com/quote/GLD?p=GLD","114.80 - 129.51",129.51,114.8
"GLRE.L","Nil","SSGA SPDR ETFS EUROPE I PLC SPD",36.03,NA,NA,NA,NA,NA,NA,0.438323353293413,-0.00962067069818585,"https://finance.yahoo.com/quote/GLRE.L?p=GLRE.L","25.05 - 36.38",36.38,25.05
"GMF","Nil","SPDR S&amp;P Emerging Asia Pacific ",104.97,NA,NA,NA,NA,NA,NA,0.157587119541244,-0.0956319462393383,"https://finance.yahoo.com/quote/GMF?p=GMF","90.68 - 116.07",116.07,90.68
