"Ticker","Nil_col","Name","Price","P.E","PEG","Div.share","Price.Book","Change_from_50_day_MA","Change_from_200_day_MA","Change_fr_52_week_low","Change_fr_52_week_high","link","fifty_two_weekrange","fifty_two_weekhigh","fifty_two_weeklow"
"EWEM","Nil","Guggenheim MSCI Emerging Market",34.7542,NA,NA,NA,NA,NA,NA,0.238126113288208,0,"https://finance.yahoo.com/quote/EWEM?p=EWEM","28.0700 - 34.7542",34.7542,28.07
"EWH","Nil","iShares MSCI Hong Kong Index Fu",25.42,NA,NA,NA,NA,NA,NA,0.28774062816616,-0.029029793735676,"https://finance.yahoo.com/quote/EWH?p=EWH","19.74 - 26.18",26.18,19.74
"EWI","Nil","iShares MSCI Italy Capped Index",30.44,NA,NA,NA,NA,NA,NA,0.316039775183744,-0.037013603290098,"https://finance.yahoo.com/quote/EWI?p=EWI","23.13 - 31.61",31.61,23.13
"EWJ","Nil","iShares MSCI Japan Index Fund",59.93,NA,NA,NA,NA,NA,NA,0.224810954424688,-0.0126853377265239,"https://finance.yahoo.com/quote/EWJ?p=EWJ","48.93 - 60.70",60.7,48.93
"EWL","Nil","iShares MSCI Switzerland Capped",35.58,NA,NA,NA,NA,NA,NA,0.21309239686328,-0.00224340998317438,"https://finance.yahoo.com/quote/EWL?p=EWL","29.33 - 35.66",35.66,29.33
"EWM","Nil","iShares MSCI Malaysia Index Fun",32.97,NA,NA,NA,NA,NA,NA,0.179184549356223,-0.0239786856127887,"https://finance.yahoo.com/quote/EWM?p=EWM","27.96 - 33.78",33.78,27.96
"EWN","Nil","iShares MSCI Netherlands Index ",31.73,NA,NA,NA,NA,NA,NA,0.319334719334719,-0.00874726647922517,"https://finance.yahoo.com/quote/EWN?p=EWN","24.05 - 32.01",32.01,24.05
"EWP","Nil","iShares MSCI Spain Capped Index",32.77,NA,NA,NA,NA,NA,NA,0.229182295573894,-0.0588742102240091,"https://finance.yahoo.com/quote/EWP?p=EWP","26.66 - 34.82",34.82,26.66
"EWQ","Nil","iShares MSCI France Index Fund",31.22,NA,NA,NA,NA,NA,NA,0.271172638436482,-0.0113996200126662,"https://finance.yahoo.com/quote/EWQ?p=EWQ","24.56 - 31.58",31.58,24.56
"EWS","Nil","iShares MSCI Singapore Capped E",25.93,NA,NA,NA,NA,NA,NA,0.294558162755866,-0.0339046199701937,"https://finance.yahoo.com/quote/EWS?p=EWS","20.03 - 26.84",26.84,20.03
"EWT","Nil","iShares MSCI Taiwan Capped ETF",36.21,NA,NA,NA,NA,NA,NA,0.222484807562458,-0.0585023400936037,"https://finance.yahoo.com/quote/EWT?p=EWT","29.62 - 38.46",38.46,29.62
"EWU","Nil","iShares MSCI United Kingdom ETF",35.82,NA,NA,NA,NA,NA,NA,0.164499349804941,-0.00555247084952812,"https://finance.yahoo.com/quote/EWU?p=EWU","30.76 - 36.02",36.02,30.76
"EWW","Nil","iShares MSCI Mexico Capped Inve",49.29,NA,NA,NA,NA,NA,NA,0.195488721804511,-0.147526807333103,"https://finance.yahoo.com/quote/EWW?p=EWW","41.23 - 57.82",57.82,41.23
"EWY","Nil","iShares MSCI South Korea Capped",74.96,NA,NA,NA,NA,NA,NA,0.393308550185874,-0.034020618556701,"https://finance.yahoo.com/quote/EWY?p=EWY","53.80 - 77.60",77.6,53.8
"EWY","Nil","iShares MSCI South Korea Capped",74.96,NA,NA,NA,NA,NA,NA,0.393308550185874,-0.034020618556701,"https://finance.yahoo.com/quote/EWY?p=EWY","53.80 - 77.60",77.6,53.8
"EZA","Nil","iShares MSCI South Africa Index",69.96,NA,NA,NA,NA,NA,NA,0.333333333333333,-0.0115851935575022,"https://finance.yahoo.com/quote/EZA?p=EZA","52.47 - 70.78",70.78,52.47
"FCA","Nil","First Trust China AlphaDEX Fund",29.6937,NA,NA,NA,NA,NA,NA,0.561182965299685,-0.0340370852309694,"https://finance.yahoo.com/quote/FCA?p=FCA","19.0200 - 30.7400",30.74,19.02
"FCG","Nil","First Trust Natural Gas ETF",22.77,NA,NA,NA,NA,NA,NA,0.220911528150134,-0.164403669724771,"https://finance.yahoo.com/quote/FCG?p=FCG","18.65 - 27.25",27.25,18.65
"FCHI","Nil","iShares FTSE China (HK Listed)",47.8,"N/A",NA,NA,NA,NA,NA,0.00822611263446532,-0.00229597161344186,"https://finance.yahoo.com/quote/FCHI?p=FCHI","47.41 - 47.91",47.91,47.41
"FDD","Nil","First Trust Dow Jones STOXX Sel",13.73,NA,NA,NA,NA,NA,NA,0.164546225614928,-0.00507246376811596,"https://finance.yahoo.com/quote/FDD?p=FDD","11.79 - 13.80",13.8,11.79
"FEM","Nil","First Trust Emerging Markets Al",27.9,"N/A",NA,NA,NA,NA,NA,0.3623046875,-0.0244755244755246,"https://finance.yahoo.com/quote/FEM?p=FEM","20.48 - 28.60",28.6,20.48
"FGD","Nil","First Trust DJ Global Select Di",26.38,NA,NA,NA,NA,NA,NA,0.127350427350427,-0.00377643504531727,"https://finance.yahoo.com/quote/FGD?p=FGD","23.40 - 26.48",26.48,23.4
